,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Kloulklubed,PW,75.2,7.04,134.26,100,90,9.95
1,Ancud,CL,54.69,-41.87,-73.82,65,68,7.16
2,Pitimbu,BR,84.2,-7.47,-34.81,58,20,11.41
3,Tuktoyaktuk,CA,-14.81,69.45,-133.04,75,20,3.36
4,Itaituba,BR,91.4,-4.28,-55.98,55,20,3.36
5,Anda,CN,1.81,46.4,125.32,69,0,9.28
6,Albany,US,37.4,42.65,-73.76,47,20,13.87
7,Ushuaia,AR,48.2,-54.8,-68.3,42,20,28.86
8,Carnarvon,AU,70.93,-24.87,113.63,98,80,13.87
9,Labuhan,ID,80.7,-6.88,112.21,100,76,9.84
10,Bajil,YE,71.25,15.06,43.29,72,0,4.92
11,Klaksvik,FO,39.2,62.23,-6.59,55,8,24.16
12,Miri,MY,77,4.41,114.01,94,75,9.17
13,Filingue,NE,84.93,14.35,3.32,56,0,2.68
14,Iqaluit,CA,1.4,63.75,-68.51,54,20,5.82
15,Buin,CL,77,-33.73,-70.75,27,0,17.22
16,Qaanaaq,GL,-3.91,77.48,-69.36,100,56,8.28
17,Hithadhoo,MV,81.6,-0.6,73.08,100,80,10.29
18,Talnakh,RU,-27.26,69.49,88.4,42,24,2.68
19,Upernavik,GL,16.44,72.79,-56.15,100,20,12.75
20,Aura,FI,41,60.62,22.58,75,56,13.87
21,Qesarya,IL,70.11,32.52,34.9,77,0,3.36
22,Fairbanks,US,12.2,64.84,-147.72,92,90,2.8
23,Pisco,PE,68,-13.7,-76.22,72,0,11.41
24,Saldanha,ZA,60.8,-33.01,17.94,63,24,6.93
25,Awjilah,LY,55.5,29.11,21.29,42,20,4.81
26,Hobart,AU,59,-42.88,147.33,82,0,5.82
27,Vaini,TO,73.4,-21.2,-175.2,100,90,14.99
28,Mathura,IN,62.83,27.5,77.68,66,8,7.05
29,Hermanus,ZA,63.24,-34.42,19.23,47,48,2.68
30,Tikhvin,RU,36.96,59.65,33.53,95,88,9.51
31,Inta,RU,20.13,66.03,60.17,87,56,2.8
32,Beloha,MG,70.66,-25.17,45.05,81,48,2.46
33,Kapaa,US,71.6,22.08,-159.32,83,75,10.29
34,Oshikango,NA,77.68,-17.4,15.88,29,0,3.02
35,Petropavlovsk-Kamchatskiy,RU,35.6,53.05,158.65,55,20,15.66
36,Hilo,US,59.32,19.73,-155.09,72,1,5.82
37,Rikitea,PF,72.42,-23.12,-134.97,100,12,9.51
38,Bilma,NE,69.76,18.69,12.92,24,0,7.83
39,Geraldton,AU,60.8,-28.77,114.6,93,90,8.05
40,Tiksi,RU,9.87,71.69,128.87,82,80,12.41
41,Teriberka,RU,16.44,69.16,35.15,100,12,3.13
42,Vestmannaeyjar,IS,32,63.44,-20.27,100,20,17.22
43,Waipawa,NZ,55.4,-41.41,175.52,71,20,19.46
44,Atuona,PF,78.63,-9.8,-139.03,100,92,16.44
45,Bluff,NZ,50.91,-46.6,168.33,100,0,11.18
46,Turan,VN,77.74,16.07,108.22,94,40,2.24
47,Bethel,US,45.81,41.37,-73.41,31,1,9.17
48,Nanortalik,GL,25.35,60.14,-45.24,100,0,8.72
49,Ilulissat,GL,8.6,69.22,-51.1,55,75,16.11
50,Kununurra,AU,80.6,-15.77,128.73,83,75,5.82
51,Caravelas,BR,77.46,-17.71,-39.25,99,0,15.77
52,Yellowknife,CA,-11.21,62.46,-114.35,76,5,6.93
53,Helong,CN,9.78,42.54,129,64,32,5.82
54,Bredasdorp,ZA,60.8,-34.53,20.04,72,48,4.7
55,Georgetown,GY,89.6,6.8,-58.16,66,75,13.87
56,Butaritari,KI,82.41,3.07,172.79,100,68,6.49
57,Cape Town,ZA,62.6,-33.93,18.42,48,0,5.82
58,Amparihy,MG,73.4,-25.02,46.97,94,75,4.7
59,Dubovskoye,RU,29.26,47.41,42.76,82,0,8.05
60,Constantine,DZ,48.2,36.37,6.61,76,20,8.05
61,Boguchany,RU,5.37,58.38,97.45,83,80,2.46
62,Ondo,NG,78.63,7.1,4.83,81,24,3.69
63,Busselton,AU,62.38,-33.65,115.33,100,92,3.24
64,Linkoping,SE,44.6,58.41,15.62,75,75,14.99
65,Uaua,BR,91.54,-9.84,-39.48,24,36,8.5
66,Kavieng,PG,82.32,-2.57,150.8,100,36,2.8
67,Bloemfontein,ZA,59,-29.12,26.21,24,0,3.36
68,Ballina,AU,69.45,-28.87,153.57,100,56,11.74
69,Jinhua,CN,6.31,41.43,128.03,64,56,7.49
70,Jamestown,US,35.06,42.1,-79.24,69,1,8.05
71,Puerres,CO,62.28,1.19,-77.27,64,75,10.29
72,Vostok,RU,0.64,46.49,135.88,69,68,2.01
73,Sisimiut,GL,-3.32,66.94,-53.67,100,20,3.8
74,Salalah,OM,80.6,17.02,54.09,65,40,9.51
75,Castro,BR,69.27,-24.79,-50.01,100,32,4.59
76,Gigmoto,PH,79.71,13.78,124.39,100,80,6.26
77,Luanda,AO,78.8,-8.84,13.23,74,40,4.7
78,Pahrump,US,67.35,36.21,-115.98,39,1,19.46
79,Husavik,IS,32,66.04,-17.34,100,75,12.75
80,Mogadishu,SO,82.32,2.04,45.34,98,36,16.89
81,Dikson,RU,-2.47,73.51,80.55,100,0,15.32
82,Ishigaki,JP,78.49,24.34,124.16,100,88,10.51
83,Orotukan,RU,-12.01,62.27,151.7,90,68,2.8
84,Sungairaya,ID,76.11,0.7,108.9,90,24,1.23
85,Poum,NC,74.58,-20.23,164.02,100,44,16.89
86,Pringsewu,ID,74.31,-5.36,104.97,91,48,3.36
87,Disa,IN,67.24,24.25,72.17,43,0,11.41
88,Damaturu,NG,84.48,11.75,11.96,23,0,9.51
89,Stornoway,GB,44.6,58.21,-6.39,81,20,21.92
90,Nishihara,JP,75.2,26.18,127.76,88,75,11.41
91,Barrow,US,12.2,71.29,-156.79,92,90,4.7
92,Longyearbyen,SJ,24.8,78.22,15.64,79,75,6.93
93,Menongue,AO,80.56,-14.66,17.69,26,100,4.7
94,Mehamn,NO,32,71.04,27.85,79,0,5.82
95,Luba,GQ,77,3.46,8.55,94,20,5.82
96,Horta (Angústias),PT,66.2,38.53,-28.64,77,75,11.41
97,Torbay,CA,36.61,47.67,-52.73,99,90,10.29
98,Oranjemund,NA,61.62,-28.55,16.43,92,0,16.33
99,Nalut,LY,50.37,31.87,10.98,85,0,4.03
100,Doha,QA,77,25.29,51.53,61,0,4.7
101,Kodiak,US,37.4,57.79,-152.41,51,1,19.46
102,Hurricane,US,60.22,37.18,-113.29,37,90,3.36
103,Maniitsoq,GL,15.72,65.42,-52.9,100,24,9.73
104,Bulawayo,ZW,68,-20.15,28.58,64,0,10.29
105,Lavrentiya,RU,22.2,65.58,-171,100,0,6.93
106,Male,MV,84.2,4.17,73.51,79,75,3.36
107,Murgab,TM,42.8,37.5,61.97,81,5,4.7
108,Suileng,CN,-5.44,47.25,127.08,69,0,6.93
109,Bengkulu,ID,78.63,-3.8,102.27,100,92,2.57
110,Tasiilaq,GL,19.4,65.61,-37.64,48,20,8.05
111,Dublyany,UA,37.4,49.9,24.09,93,75,2.24
112,Mahebourg,MU,77,-20.41,57.7,83,75,9.17
113,Saint-Philippe,RE,74.35,-21.36,55.77,94,56,2.24
114,Cuamba,MZ,70.98,-14.8,36.54,85,76,8.39
115,Barenburg,DE,41.43,52.62,8.8,81,0,6.93
116,Lebu,CL,54.96,-37.62,-73.65,100,0,19.24
117,Khatanga,RU,-15.79,71.97,102.5,24,36,4.47
118,Goderich,CA,35.29,43.75,-81.72,87,68,12.41
119,Chuy,UY,71.34,-33.7,-53.46,83,20,8.05
120,Ornskoldsvik,SE,29.21,63.29,18.72,86,0,6.93
121,Naze,JP,72.24,28.37,129.48,100,92,20.92
122,Avarua,CK,77,-21.21,-159.78,78,40,12.75
123,Druzhba,UA,31.11,52.04,33.95,91,32,9.84
